,city,cuisines,longitude,latitude,priceRangeMin,priceRangeMax,websites
7459,San Jose,"Ethiopian,Vegetarian",-121.922151,37.339938000000004,0.0,0.0,
7466,Chicago,"Traditional American,Vegetarian",-87.675732,41.903442,0.0,0.0,
7485,Seattle,"Mediterranean,Vegetarian",-122.354996,47.682262,0.0,0.0,https://www.carmelita.net/
7505,Tucson,"Vegetarian,Chinese,Chinese Restaurants",-110.923404,32.235779,0.0,0.0,https://www.guilintucson.net
7541,Neenah,"Traditional American,American,Soups,Vegetarian Friendly,Vegan Options,Gluten Free Options",-88.462336,44.154652,0.0,25.0,https://zuppas.com
7588,Arlington,"Mediterranean Restaurants,Greek Restaurants,Restaurants,Greek,Fast Food,Mediterranean,Vegetarian Friendly,Vegan Options",-77.051507,38.858191999999995,0.0,25.0,https://www.theperfectpita.com
7620,Miami,"Traditional American,Seafood,Vegetarian,Hamburgers",-80.243931,25.726881,25.0,40.0,https://www.luluinthegrove.com
7755,Los Angeles,"Vegetarian,Breakfast and Brunch,Vegetarian Friendly,Juices",-118.367558,34.083686,25.0,40.0,https://liquidjuicebar.com
7779,Minneapolis,Vegetarian Restaurants,-93.263373,45.001165,0.0,0.0,https://www.ertedining.com
7789,Kew Gardens,"Indian,Vegetarian",-73.829399,40.709088,0.0,0.0,
7801,Cary,"Vegetarian,Mediterranean",-78.737999,35.761165999999996,0.0,0.0,https://www.greekfiesta.com
7814,Philadelphia,"Coffee Shops,Delicatessens,Coffee and Espresso Restaurants,Vegan Restaurants,Restaurants,Vegetarian,Coffee and Tea,Vegan",-75.151957,39.929111,25.0,40.0,https://www.grindcorehouse.com
7853,Flushing,"Eastern European,Kosher,Vegetarian",-73.821841,40.726279,0.0,0.0,
7929,Kīhei,"Thai,Southeast Asian,Asian,Vegetarian",-156.452451,20.734835,0.0,0.0,https://www.thailandcuisinemaui.net/
7955,Jackson Heights,"Vegetarian,Indian,Desserts",-73.892875,40.748847,0.0,25.0,https://rajbhog.com
8040,Woodside,"American,Vegetarian",-73.912526,40.744415999999994,25.0,40.0,https://cafe52woodside.com
